Fight_URL,Event_Name,Event_URL,Fight_Title,Method,Round_Finished,Referee,Stop_Time,F1_URL,F1_First,F1_Last,F1_Status,F1_KD,F1_Total_Str_Landed,F1_Total_Str_Attempted,F1_Sig_Str_Landed,F1_Sig_Str_Attempted,F1_Sig_Str_Head_Landed,F1_Sig_Str_Head_Attempted,F1_Sig_Str_Body_Landed,F1_Sig_Str_Body_Attempted,F1_Sig_Str_Leg_Landed,F1_Sig_Str_Leg_Attempted,F1_Sig_Str_Distance_Landed,F1_Sig_Str_Distance_Attempted,F1_Sig_Str_Clinch_Landed,F1_Sig_Str_Clinch_Attempted,F1_Sig_Str_Ground_Landed,F1_Sig_Str_Ground_Attempted,F1_TD_Landed,F1_TD_Attempted,F1_Sub_Attempted,F1_Rev,F1_CTRL_TIME,F2_URL,F2_First,F2_Last,F2_Status,F2_KD,F2_Total_Str_Landed,F2_Total_Str_Attempted,F2_Sig_Str_Landed,F2_Sig_Str_Attempted,F2_TD_Landed,F2_TD_Attempted,F2_Sub_Attempted,F2_Rev,F2_CTRL_TIME,F2_Sig_Str_Head_Landed,F2_Sig_Str_Head_Attempted,F2_Sig_Str_Body_Landed,F2_Sig_Str_Body_Attempted,F2_Sig_Str_Leg_Landed,F2_Sig_Str_Leg_Attempted,F2_Sig_Str_Distance_Landed,F2_Sig_Str_Distance_Attempted,F2_Sig_Str_Clinch_Landed,F2_Sig_Str_Clinch_Attempted,F2_Sig_Str_Ground_Landed,F2_Sig_Str_Ground_Attempted
http://www.ufcstats.com/fight-details/856e171bdfc98cb5,UFC on FOX: Johnson vs Dodson,http://www.ufcstats.com/event-details/738acab0c6934dd8,Welterweight Bout,Decision - Unanimous,3,Herb Dean,5:00,http://www.ufcstats.com/fighter-details/c0c36a5b3d5bbdd5,Mike,Stumpf,L,0,87,169,63,142,26,95,16,26,21,21,51,122,12,19,0,1,2,8,0,0,2:30,http://www.ufcstats.com/fighter-details/a01e84abefd85ec0,Pascal,Krauss,W,0,197,344,163,309,1,2,1,0,3:45,115,254,19,26,29,29,116,242,44,64,3,3
http://www.ufcstats.com/fight-details/d2ce61c578e67067,UFC 122: Marquardt vs Okami,http://www.ufcstats.com/event-details/0ff11cc094e887bc,Welterweight Bout,Decision - Unanimous,3,Leon Roberts,5:00,http://www.ufcstats.com/fighter-details/a01e84abefd85ec0,Pascal,Krauss,W,0,230,290,50,98,24,67,21,25,5,6,11,47,14,18,25,33,3,4,2,0,8:08,http://www.ufcstats.com/fighter-details/771b60ff889661c8,Mark,Scanlon,L,0,62,129,33,94,3,4,2,1,3:17,28,83,2,7,3,4,26,79,3,9,4,6
http://www.ufcstats.com/fight-details/6d83de8d54f75ffc,UFC 129: St-Pierre vs Shields,http://www.ufcstats.com/event-details/2db7fa8db6bc9632,Bantamweight Bout,KO/TKO,1,John McCarthy,1:30,http://www.ufcstats.com/fighter-details/5755960ebd0b16f6,Ivan,Menjivar,W,1,12,29,8,24,5,18,2,4,1,2,0,10,4,5,4,9,0,0,0,0,0:13,http://www.ufcstats.com/fighter-details/8a0be41c0380188d,Charlie,Valencia,L,0,5,10,5,10,0,0,0,0,0:00,1,4,3,3,1,3,2,7,3,3,0,0
http://www.ufcstats.com/fight-details/bdbf39811bed8c54,DWCS 4.9,http://www.ufcstats.com/event-details/ef6f45095119d416,Middleweight Bout,Decision - Unanimous,3,Mark Smith,5:00,http://www.ufcstats.com/fighter-details/72782745eb47161a,Mario,Souza,W,0,93,132,51,84,41,73,8,9,2,2,19,42,7,10,25,32,0,0,1,2,1:32,http://www.ufcstats.com/fighter-details/ab16537dd1e5e81d,Mariusz,Ksiazkiewicz,L,0,85,114,14,31,4,4,2,2,10:24,8,24,2,3,4,4,5,17,2,2,7,12
http://www.ufcstats.com/fight-details/677e98ae5834ba70,UFC on FOX: Johnson vs. Reis,http://www.ufcstats.com/event-details/ed069a95aaaf4f56,Bantamweight Bout,Decision - Unanimous,3,Mario Yamasaki,5:00,http://www.ufcstats.com/fighter-details/cb696ebfb6598724,Aljamain,Sterling,W,0,162,246,83,161,28,90,46,55,9,16,53,117,10,12,20,32,2,6,0,0,5:59,http://www.ufcstats.com/fighter-details/3d5b1ce6097dbb49,Augusto,Mendes,L,1,76,145,30,91,0,3,0,1,3:13,16,73,7,11,7,7,24,84,4,4,2,3
http://www.ufcstats.com/fight-details/46c89e7e886cdc5b,UFC Fight Night: Machida vs Munoz,http://www.ufcstats.com/event-details/60884f31ead1609c,Middleweight Bout,Submission,1,Marc Goddard,4:17,http://www.ufcstats.com/fighter-details/34e552520a934063,Brad,Scott,W,0,23,32,14,23,6,14,3,3,5,6,6,15,8,8,0,0,0,3,2,0,2:41,http://www.ufcstats.com/fighter-details/b7f38813485745da,Michael,Kuiper,L,0,8,10,7,9,1,4,0,0,0:06,0,1,3,3,4,5,4,6,3,3,0,0
http://www.ufcstats.com/fight-details/c3939438ae7934df,UFC Fight Night: Dos Santos vs. Ivanov,http://www.ufcstats.com/event-details/b45d6b73f4ca4467,Featherweight Bout,KO/TKO,1,Jason Herzog,2:52,http://www.ufcstats.com/fighter-details/08e908ed6d18d6a0,Myles,Jury,L,0,3,12,3,12,0,6,1,1,2,5,3,12,0,0,0,0,0,0,0,0,0:00,http://www.ufcstats.com/fighter-details/b5b684eac99ae0a3,Chad,Mendes,W,1,17,27,17,27,0,0,0,0,0:26,16,24,0,0,1,3,2,5,0,0,15,22
http://www.ufcstats.com/fight-details/5601f096a0d323f9,UCC 7,http://www.ufcstats.com/event-details/712c4db78b9373d1,Welterweight Bout,KO/TKO,1,,4:50,http://www.ufcstats.com/fighter-details/6506c1d34da9c013,Georges,St-Pierre,W,0,26,46,17,37,13,31,1,3,3,3,4,16,5,7,8,14,1,1,0,0,--,http://www.ufcstats.com/fighter-details/5755960ebd0b16f6,Ivan,Menjivar,L,0,34,51,8,22,2,6,0,0,--,7,21,1,1,0,0,3,10,2,6,3,6
http://www.ufcstats.com/fight-details/a6097fd4e77cb881,UFC on FX: Sotiropoulos vs Pearson,http://www.ufcstats.com/event-details/e8c170a64dc920ac,Featherweight Bout,KO/TKO,1,Steve Perceval,1:55,http://www.ufcstats.com/fighter-details/b5b684eac99ae0a3,Chad,Mendes,W,1,11,14,10,13,4,6,2,2,4,5,8,11,0,0,2,2,0,0,0,0,0:02,http://www.ufcstats.com/fighter-details/3623bd267a2eef2e,Yaotzin,Meza,L,0,2,15,2,15,0,0,0,0,0:00,0,10,1,2,1,3,2,15,0,0,0,0
http://www.ufcstats.com/fight-details/41222c4fab03d6f8,UFC 48: Payback,http://www.ufcstats.com/event-details/429e7d3725852ce9,Lightweight Bout,Decision - Unanimous,3,Mario Yamasaki,5:00,http://www.ufcstats.com/fighter-details/86dfed7cc24a9fa7,Matt,Serra,W,0,67,108,14,40,9,33,5,7,0,0,2,4,2,3,10,33,6,7,0,0,13:18,http://www.ufcstats.com/fighter-details/5755960ebd0b16f6,Ivan,Menjivar,L,0,59,68,8,16,0,2,2,0,0:07,3,10,5,6,0,0,1,8,5,6,2,2
http://www.ufcstats.com/fight-details/a5ea53104392fa9f,UFC 232: Jones vs. Gustafsson 2,http://www.ufcstats.com/event-details/c046100aea0dba9a,Featherweight Bout,KO/TKO,2,Mark Smith,4:14,http://www.ufcstats.com/fighter-details/b5b684eac99ae0a3,Chad,Mendes,L,1,28,51,28,51,16,37,6,7,6,7,24,46,4,5,0,0,3,4,0,0,0:45,http://www.ufcstats.com/fighter-details/e1248941344b3288,Alexander,Volkanovski,W,1,54,124,54,124,0,0,0,0,0:08,36,91,10,19,8,14,46,113,5,8,3,3
http://www.ufcstats.com/fight-details/8c1787fe568f1ca6,UFC on FUEL TV: Nogueira vs. Werdum,http://www.ufcstats.com/event-details/7865707fd684d77b,Middleweight Bout,Submission,1,Dan Miragliotta,2:20,http://www.ufcstats.com/fighter-details/7e47047d0971d566,Daniel,Sarafian,W,0,19,20,8,9,5,6,3,3,0,0,8,9,0,0,0,0,1,1,1,0,1:06,http://www.ufcstats.com/fighter-details/49e49b54e5901d0d,Eddie,Mendez,L,0,5,13,4,12,0,0,0,0,0:22,3,10,0,1,1,1,4,12,0,0,0,0
http://www.ufcstats.com/fight-details/e516a0e035fd57f7,UFC 133: Evans vs Ortiz 2,http://www.ufcstats.com/event-details/f1f9e48a0d150757,Featherweight Bout,Decision - Unanimous,3,Keith Peterson,5:00,http://www.ufcstats.com/fighter-details/b5b684eac99ae0a3,Chad,Mendes,W,0,46,83,35,72,20,42,3,5,12,25,24,59,1,1,10,12,5,5,0,0,4:44,http://www.ufcstats.com/fighter-details/94527830000ab715,Rani,Yahya,L,0,43,115,15,87,0,5,0,0,0:00,8,70,3,6,4,11,15,85,0,2,0,0
http://www.ufcstats.com/fight-details/8a9c8f1d53d8c664,UFC Fight Night: Cejudo vs. Dillashaw,http://www.ufcstats.com/event-details/d4da8995fc91e7ef,Light Heavyweight Bout,KO/TKO,1,Dan Miragliotta,3:56,http://www.ufcstats.com/fighter-details/a495f599e787614f,Alonzo,Menifield,W,1,35,62,33,60,32,59,0,0,1,1,24,46,0,0,9,14,0,0,0,0,0:29,http://www.ufcstats.com/fighter-details/acb36c908d415c4a,Vinicius,Moreira,L,0,12,22,11,21,0,4,0,0,1:20,0,6,6,9,5,6,8,16,3,5,0,0
http://www.ufcstats.com/fight-details/65df45b296cfa7d8,WEC 52: Faber vs. Mizugaki,http://www.ufcstats.com/event-details/484acc7b0f856ce9,Featherweight Bout,Decision - Unanimous,3,Herb Dean,5:00,http://www.ufcstats.com/fighter-details/b5b684eac99ae0a3,Chad,Mendes,W,0,76,123,30,71,23,64,4,4,3,3,12,30,0,0,18,41,3,3,0,1,11:47,http://www.ufcstats.com/fighter-details/be5cfd73617a5b1a,Javier,Vazquez,L,0,90,111,6,22,0,1,0,0,0:02,3,19,0,0,3,3,5,20,0,1,1,1
http://www.ufcstats.com/fight-details/ce17641f02fd29a9,WEC 48: Aldo vs. Faber,http://www.ufcstats.com/event-details/b18fb36a4aa00093,Featherweight Bout,Submission,1,Jon Schorle,2:13,http://www.ufcstats.com/fighter-details/b5b684eac99ae0a3,Chad,Mendes,W,0,2,8,2,8,0,5,1,2,1,1,1,7,1,1,0,0,1,3,1,0,0:24,http://www.ufcstats.com/fighter-details/dab0e6cb8c932162,Anthony,Morrison,L,0,6,6,5,5,0,0,0,0,0:10,4,4,0,0,1,1,4,4,1,1,0,0
http://www.ufcstats.com/fight-details/45c260921c7a96a6,WEC 50: Cruz vs. Benavidez,http://www.ufcstats.com/event-details/9f1641c08cf8fbe2,Featherweight Bout,Decision - Unanimous,3,Josh Rosenthal,5:00,http://www.ufcstats.com/fighter-details/d247691a6c0e9034,Cub,Swanson,L,0,73,125,27,78,13,62,5,7,9,9,24,70,1,5,2,3,0,0,0,0,0:00,http://www.ufcstats.com/fighter-details/b5b684eac99ae0a3,Chad,Mendes,W,0,27,52,17,42,8,10,0,0,9:09,16,40,0,0,1,2,8,27,0,1,9,14
http://www.ufcstats.com/fight-details/cd3eff18570ea415,M-1 - Slamm,http://www.ufcstats.com/event-details/ee779c43a8926d52,Light Heavyweight Bout,KO/TKO,1,Marco Broersen,2:44,http://www.ufcstats.com/fighter-details/232c582f29f8f65e,Gegard,Mousasi,W,0,35,54,26,45,20,35,3,5,3,5,4,14,1,1,21,30,1,1,0,0,--,http://www.ufcstats.com/fighter-details/3bc27ec15facbcf3,Steve,Mensing,L,0,0,6,0,6,0,0,0,0,--,0,6,0,0,0,0,0,6,0,0,0,0
http://www.ufcstats.com/fight-details/bc6613e0c0f4377b,Strikeforce - Tank vs. Buentello,http://www.ufcstats.com/event-details/7aa88401f93ce836,Middleweight Bout,Submission,1,Jon Schorle,2:29,http://www.ufcstats.com/fighter-details/27b1a406ac171b19,Luke,Stewart,W,0,7,8,2,3,1,2,0,0,1,1,1,1,0,0,1,2,0,1,1,1,--,http://www.ufcstats.com/fighter-details/5bdcbd8dd681a257,Jeremiah,Metcalf,L,0,13,20,0,1,0,0,0,0,--,0,1,0,0,0,0,0,1,0,0,0,0
http://www.ufcstats.com/fight-details/2c0a58ef0324e18b,UFC Fight Night: Whittaker vs. Brunson,http://www.ufcstats.com/event-details/73e09f837f3b5ecc,Welterweight Bout,Decision - Unanimous,3,Steve Perceval,5:00,http://www.ufcstats.com/fighter-details/303a05a7aa3ff761,Richard,Walsh,L,0,33,106,18,88,7,69,5,9,6,10,12,73,4,10,2,5,2,8,1,0,2:53,http://www.ufcstats.com/fighter-details/5823ceab56741617,Jonathan,Meunier,W,0,105,186,74,155,1,3,0,0,1:20,39,100,14,22,21,33,57,131,16,23,1,1
http://www.ufcstats.com/fight-details/541e5c7a87712fc2,UFC Fight Night: Mir vs Duffee,http://www.ufcstats.com/event-details/36877f0e62b25b96,Featherweight Bout,Decision - Unanimous,3,Jason Herzog,5:00,http://www.ufcstats.com/fighter-details/b8aef0faf4ce9b31,Sam,Sicilia,W,0,33,66,12,41,10,35,1,5,1,1,3,27,3,7,6,7,2,2,4,0,8:26,http://www.ufcstats.com/fighter-details/3623bd267a2eef2e,Yaotzin,Meza,L,0,39,60,18,37,1,9,1,0,1:30,10,25,3,3,5,9,16,35,2,2,0,0
